"","縣市","鄉鎮市區","村里","同意票數","不同意票數","投票數","投票權人數","所得平均數","所得中位數","所得標準差","人口總數","0到9歲","10到19歲","20到29歲","30到39歲","40到49歲","50到59歲","60到69歲","70到79歲","80歲以上"
"1","台北市","北投區","八仙里",1717,947,2790,4923,1088,683,1404.95,5839,475,523,744,1014,898,899,782,319,185
"2","台北市","北投區","大同里",1816,942,2850,5164,1103,679,1657.45,6186,560,557,788,1028,936,927,829,337,224
"3","台北市","北投區","大屯里",394,153,588,1067,1551,588,7029.89,1249,105,111,131,206,174,196,170,98,58
"4","台北市","北投區","稻香里",1742,803,2650,4886,919,665,1075.71,5666,428,452,662,986,934,888,743,327,246
"5","台北市","北投區","東華里",1531,774,2420,3837,1056,671,1238.14,4748,472,520,534,731,741,674,651,269,156
"6","台北市","北投區","豐年里",1551,685,2335,3912,846,613,777.82,4833,612,361,570,836,817,664,525,291,157
"7","台北市","北投區","福興里",2212,1115,3469,6090,1077,728,1277.08,7610,825,883,831,1309,1256,985,908,396,217
"8","台北市","北投區","關渡里",3526,1779,5495,10006,1043,660,1607.97,11901,1173,934,1433,2162,1728,1701,1586,692,492
"9","台北市","北投區","湖山里",570,231,854,1519,1250,648,6565.94,1741,120,91,189,259,256,280,266,165,115
"10","台北市","北投區","湖田里",336,134,507,892,1022,586,2167.91,997,60,69,133,147,128,190,145,73,52
"11","台北市","北投區","吉利里",2338,1104,3560,5857,1086,765,1120.53,7628,931,997,733,1239,1318,919,863,406,222
"12","台北市","北投區","吉慶里",1638,913,2640,4391,1087,745,1291.08,5764,699,730,616,916,937,702,648,307,209
"13","台北市","北投區","建民里",1462,772,2324,3797,1224,719,1862.45,4397,349,358,530,699,620,668,655,297,221
"14","台北市","北投區","開明里",2273,1062,3463,5889,1228,676,3485.11,6872,517,578,928,1028,1094,1076,936,451,264
"15","台北市","北投區","立農里",2813,1469,4469,7724,1012,708,1118.74,9647,992,1142,1022,1761,1586,1243,1214,440,247
"16","台北市","北投區","立賢里",1680,857,2602,4644,1014,690,1098.47,5913,667,703,638,989,1000,744,715,301,156
"17","台北市","北投區","林泉里",878,498,1426,2762,948,664,1172.92,3185,273,204,354,567,473,509,480,216,109
"18","台北市","北投區","奇岩里",3195,1778,5170,9045,1309,694,5331.65,10321,840,845,1381,1681,1492,1657,1495,603,327
"19","台北市","北投區","清江里",2730,1299,4238,8470,943,634,1503.82,9751,654,729,1187,1525,1602,1691,1369,619,375
"20","台北市","北投區","泉源里",703,345,1113,2170,958,560,2362.72,2446,150,196,323,381,326,432,341,183,114
"21","台北市","北投區","榮光里",2346,1134,3617,6230,1038,723,1110.49,8067,1005,998,818,1297,1332,981,925,445,266
"22","台北市","北投區","榮華里",2210,1417,3783,6528,1563,819,5089.78,7764,698,681,925,1232,1129,1137,1159,524,279
"23","台北市","北投區","石牌里",1775,936,2822,4640,1016,683,1094.44,5525,498,448,634,1010,885,740,764,360,186
"24","台北市","北投區","桃源里",1929,1048,3074,5397,962,647,1059.03,6318,514,520,899,1176,879,1048,803,307,172
"25","台北市","北投區","溫泉里",2173,1120,3404,5954,1050,657,1641.88,6943,544,564,867,1092,1011,1133,987,447,298
"26","台北市","北投區","文化里",1566,654,2296,3617,1124,795,1140.94,4524,627,365,504,697,663,739,496,226,207
"27","台北市","北投區","文林里",1405,798,2293,3798,1162,714,1830.26,4392,329,380,510,733,699,629,609,326,177
"28","台北市","北投區","秀山里",1097,469,1638,2937,859,598,837.06,3423,320,234,394,569,549,479,439,277,162
"29","台北市","北投區","一德里",2267,1225,3600,6487,1018,659,1340.6,7838,844,705,1008,1395,1256,1115,893,395,227
"30","台北市","北投區","永和里",2797,1562,4489,7993,1549,828,3358.84,9610,944,896,1144,1369,1486,1567,1290,569,345
"31","台北市","北投區","永明里",1658,780,2525,4183,1207,766,1548.15,5308,640,636,590,849,822,700,629,286,156
"32","台北市","北投區","永欣里",2183,1346,3642,6869,1948,1048,3432.14,8311,891,759,888,1302,1268,1260,1124,493,326
"33","台北市","北投區","裕民里",2344,1249,3766,6810,1333,770,1958.76,8084,746,697,958,1393,1244,1158,1135,484,269
"34","台北市","北投區","長安里",1795,1041,2931,5554,986,640,1475.98,6468,553,585,821,1034,998,1072,779,381,245
"35","台北市","北投區","振華里",2538,1310,3970,6642,1173,748,1595.28,8098,791,762,882,1302,1217,1089,1168,583,304
"36","台北市","北投區","智仁里",1889,902,2919,5333,871,643,813.95,6531,754,477,823,1134,1029,897,810,394,213
"37","台北市","北投區","中和里",1576,790,2461,4365,1079,669,1499.8,5150,477,359,589,820,857,764,664,371,249
"38","台北市","北投區","中心里",1955,1109,3149,5832,1130,682,2274.23,6680,536,450,802,1117,1010,1153,934,426,252
"39","台北市","北投區","中央里",2680,1381,4217,7542,1064,676,1373.03,8975,841,749,1130,1493,1414,1361,1168,518,301
"40","台北市","北投區","中庸里",1437,658,2180,3829,909,612,1176.94,4448,394,320,553,779,675,665,579,310,173
"41","台北市","北投區","洲美里",585,271,889,1660,813,596,761.3,2186,259,169,243,401,340,308,251,131,84
"42","台北市","北投區","尊賢里",1566,781,2434,4005,980,682,1224.94,5119,577,605,503,909,811,592,635,335,152
"43","台北市","大安區","昌隆里",975,508,1541,2818,1434,840,1914.27,3188,194,202,340,382,404,528,538,294,306
"44","台北市","大安區","車層里",1953,1015,3091,5436,1805,878,3538.18,6598,616,608,630,842,997,937,986,622,360
"45","台北市","大安區","誠安里",1251,650,1976,3667,1202,768,1481.18,4171,287,301,438,619,579,671,648,351,277
"46","台北市","大安區","大學里",2655,1498,4269,7232,1556,925,2815.72,8785,815,965,865,1140,1302,1279,1230,701,488
"47","台北市","大安區","德安里",1782,912,2786,4848,1888,876,4742.42,5939,577,592,565,729,825,937,912,486,316
"48","台北市","大安區","敦安里",1914,1051,3041,5321,2061,938,5903.4,6697,780,755,591,822,1119,863,910,584,273
"49","台北市","大安區","敦煌里",1830,1063,2989,5169,1762,965,4262.22,6629,903,634,539,945,1101,739,907,556,305
"50","台北市","大安區","法治里",1484,800,2377,3958,1319,770,1945.36,4604,382,381,520,688,679,715,674,312,253
"51","台北市","大安區","芳和里",1905,864,2874,5100,1160,728,1480.94,5897,470,446,651,926,915,923,811,449,306
"52","台北市","大安區","福住里",1795,1179,3066,5155,1837,1037,3435.47,6894,1026,873,600,964,1125,871,758,429,248
"53","台北市","大安區","古風里",1348,780,2193,3596,1526,885,3358.18,4334,375,399,463,599,680,632,657,328,201
"54","台北市","大安區","古莊里",2369,1305,3774,6129,1403,862,2163.84,7406,693,762,789,1070,1103,1090,1021,527,351
"55","台北市","大安區","光明里",1084,515,1642,2945,2333,1099,11233.84,3889,528,551,361,532,714,451,404,219,129
"56","台北市","大安區","光武里",2196,1191,3533,6508,1685,785,9189.52,7781,767,598,743,1065,1137,1192,1226,667,386
"57","台北市","大安區","光信里",2280,1346,3749,6534,1643,862,3511.88,8139,862,831,816,1166,1196,1134,1206,600,328
"58","台北市","大安區","和安里",2135,1241,3472,5767,4061,993,51424.05,7478,873,1018,742,948,1223,1032,832,493,317
"59","台北市","大安區","虎嘯里",1176,682,1935,3311,1549,853,2718.44,3993,392,308,410,599,613,612,568,281,210
"60","台北市","大安區","華聲里",1292,765,2123,3647,1723,818,6336.65,4418,441,365,479,633,612,639,671,333,245
"61","台北市","大安區","建安里",1508,771,2354,4254,1702,859,3709.76,5193,522,468,509,684,792,760,778,393,287
"62","台北市","大安區","建倫里",1832,991,2932,5267,2484,923,25442.73,6486,698,606,569,785,946,980,952,595,355
"63","台北市","大安區","錦安里",1758,1059,2899,4884,2122,1033,6423.34,6485,917,805,586,849,1066,854,738,404,266
"64","台北市","大安區","錦華里",1764,978,2828,4640,1740,1046,4964.63,6228,862,814,594,872,1056,753,729,342,206
"65","台北市","大安區","錦泰里",1094,570,1715,2978,1542,957,2065.56,3897,493,528,286,511,688,485,458,271,177
"66","台北市","大安區","黎和里",1548,836,2475,4312,1141,747,1346.25,4933,373,345,542,810,859,776,735,314,179
"67","台北市","大安區","黎孝里",2506,1376,4011,6796,1082,728,1340.25,7832,622,505,925,1360,1113,1187,1288,528,304
"68","台北市","大安區","黎元里",1842,925,2874,4851,891,652,815.07,5716,512,434,664,1080,895,789,799,334,209
"69","台北市","大安區","臨江里",1369,682,2132,3633,1006,671,1137.06,4294,324,379,509,679,656,704,535,302,206
"70","台北市","大安區","龍安里",1868,1216,3171,6705,2131,1025,8179.06,8466,982,884,658,944,1476,1362,1164,588,408
"71","台北市","大安區","龍門里",1303,843,2191,3594,2036,1075,6108.6,4626,562,576,394,551,727,603,635,371,207
"72","台北市","大安區","龍坡里",1772,1071,2927,4829,1637,987,2807.15,6146,627,797,553,742,983,791,852,495,306
"73","台北市","大安區","龍泉里",1440,884,2413,4047,1467,861,2844.14,5098,591,614,492,741,838,626,666,324,206
"74","台北市","大安區","龍生里",2077,1156,3331,5535,1669,968,2523.12,7183,833,949,696,878,1189,1014,864,457,303
"75","台北市","大安區","龍圖里",2170,1170,3429,5891,1597,889,2584.07,7064,675,568,735,1048,1012,1046,1074,561,345
"76","台北市","大安區","龍淵里",2828,1705,4681,7674,1525,967,2211.63,10323,1489,1389,935,1357,1780,1269,1091,647,366
"77","台北市","大安區","龍雲里",1518,798,2397,4215,2307,842,20381.67,4996,434,424,589,642,693,793,723,425,273
"78","台北市","大安區","龍陣里",1146,639,1845,3091,1656,877,3166.22,3584,277,287,434,476,478,571,535,339,187
"79","台北市","大安區","民輝里",1997,1094,3190,5988,2467,935,8953.01,7044,642,522,736,942,885,1122,1157,558,480
"80","台北市","大安區","民炤里",2385,1351,3869,6795,2292,985,12370.29,8430,846,909,779,1005,1254,1282,1163,702,490
"81","台北市","大安區","全安里",1359,762,2197,3844,1886,843,5096.06,4549,359,362,469,633,678,646,793,378,231
"82","台北市","大安區","群賢里",1850,972,2904,5149,NA,NA,NA,6027,514,475,676,813,857,905,979,469,339
"83","台北市","大安區","群英里",2381,1098,3579,6080,NA,NA,NA,7154,544,592,836,988,869,1325,1199,443,358
"84","台北市","大安區","仁愛里",1575,729,2361,4461,2791,950,17887.22,5454,541,488,472,617,743,847,880,527,339
"85","台北市","大安區","仁慈里",1543,1001,2642,4386,2019,995,6914.76,5832,755,805,516,704,956,786,745,330,235
"86","台北市","大安區","通安里",1886,953,2947,4829,1206,731,1551.02,5772,499,459,640,896,916,845,837,408,272
"87","台北市","大安區","通化里",1874,1018,3027,5453,1162,698,2399.86,6358,522,485,742,1085,990,976,889,421,248
"88","台北市","大安區","臥龍里",660,366,1048,1757,1391,856,2183.76,2280,356,217,196,351,337,278,266,158,121
"89","台北市","大安區","新龍里",2289,1186,3559,5712,1458,890,2559.34,7184,749,885,725,933,1157,1012,1008,417,298
"90","台北市","大安區","學府里",895,397,1383,2327,1218,733,1321.43,2803,287,201,285,283,362,504,351,244,286
"91","台北市","大安區","義安里",1697,937,2726,4663,2241,940,8168.34,5479,439,451,609,762,820,809,859,472,258
"92","台北市","大安區","義村里",2033,943,3073,5067,1564,773,10618.94,5726,352,414,599,786,781,912,1044,500,338
"93","台北市","大安區","永康里",1141,614,1808,3119,1556,896,2360.72,4055,500,511,380,541,612,560,506,256,189
"94","台北市","大安區","正聲里",1416,806,2280,4124,1802,858,5994.33,5045,528,441,518,687,693,781,763,338,296
"95","台北市","大安區","住安里",1608,821,2505,4554,1451,766,3854.81,5387,442,477,551,781,787,867,733,430,319
"96","台北市","大同區","保安里",1448,710,2267,3630,1091,660,2228.44,4242,355,321,484,664,672,634,563,326,223
"97","台北市","大同區","朝陽里",1472,794,2338,3923,1168,633,2317.62,4554,374,351,537,742,695,734,643,302,176
"98","台北市","大同區","大有里",1524,890,2540,4253,994,640,1211.04,5114,469,449,589,884,775,706,679,344,219
"99","台北市","大同區","光能里",1615,862,2604,4303,1004,644,1521.04,5399,593,583,568,857,858,760,621,341,218
"100","台北市","大同區","國慶里",1431,783,2297,3885,1065,682,1246.68,4582,462,330,577,814,672,686,598,282,161
"101","台北市","大同區","國順里",790,407,1295,2468,761,553,667.5,2929,226,188,345,443,493,466,430,223,115
"102","台北市","大同區","建功里",1458,773,2331,4132,1304,634,8188.46,4895,481,363,504,859,752,684,718,337,197
"103","台北市","大同區","建明里",1080,530,1685,2972,1503,619,12347.48,3517,301,244,396,593,480,547,547,243,166
"104","台北市","大同區","建泰里",1159,711,1953,3197,1126,716,1881.07,4032,516,340,422,731,563,520,535,260,145
"105","台北市","大同區","景星里",847,439,1353,2388,836,614,935.91,2868,246,204,327,473,444,413,400,245,116
"106","台北市","大同區","老師里",1975,1027,3143,5195,860,617,922.24,6177,577,487,724,1097,942,873,809,412,256
"107","台北市","大同區","鄰江里",1964,1084,3200,5823,835,594,873.61,6668,555,423,787,1193,954,1070,892,488,306
"108","台北市","大同區","隆和里",1043,553,1670,2699,1001,630,1399.27,3252,333,300,386,492,507,452,395,240,147
"109","台北市","大同區","民權里",1944,1144,3215,5427,1196,765,2184.31,6902,776,792,736,1173,1133,887,840,352,213
"110","台北市","大同區","南芳里",1309,718,2100,3518,923,613,967.82,4255,473,394,430,724,673,569,527,307,158
"111","台北市","大同區","蓬萊里",1617,857,2544,4354,1253,643,4049.6,5101,420,403,609,920,770,755,678,343,203
"112","台北市","大同區","雙連里",3264,1391,4843,7949,995,656,1626.57,10102,1028,1203,1033,1577,1664,1426,1224,601,346
"113","台北市","大同區","斯文里",1588,815,2546,4466,974,609,2645,5569,461,398,614,949,901,911,732,367,236
"114","台北市","大同區","星明里",1881,1080,3059,5142,1127,712,1843.11,6432,865,563,633,1198,1034,859,761,340,179
"115","台北市","大同區","延平里",1392,707,2160,3710,944,594,1201.95,4350,405,295,503,719,671,685,616,296,160
"116","台北市","大同區","揚雅里",1077,542,1692,4014,966,607,1411.89,4460,304,248,445,758,630,852,697,282,244
"117","台北市","大同區","永樂里",1797,922,2829,4703,1340,659,5172.92,5589,548,476,636,950,782,791,768,400,238
"118","台北市","大同區","玉泉里",956,553,1593,2613,1132,711,1460.09,3101,280,248,335,525,469,403,484,220,137
"119","台北市","大同區","至聖里",2644,1413,4197,7142,1012,647,1556.22,8348,747,592,991,1431,1264,1226,1121,589,387
"120","台北市","大同區","重慶里",2124,1098,3374,5651,1142,719,1942.07,6840,678,644,794,1143,1058,996,885,396,246
"121","台北市","南港區","百福里",1782,887,2768,4733,906,644,965.95,5655,528,490,646,1073,896,799,736,339,148
"122","台北市","南港區","成福里",2642,1364,4162,6741,982,656,1137.84,7997,733,638,922,1558,1233,1138,1074,440,261
"123","台北市","南港區","東明里",1614,787,2470,4093,1250,803,1745.38,4931,473,454,633,807,803,764,557,279,161
"124","台北市","南港區","東新里",2272,1219,3610,6336,947,637,1045.51,7625,732,746,973,1344,1215,1080,907,423,205
"125","台北市","南港區","合成里",2425,1104,3655,5983,1210,681,3010.46,7062,599,564,835,1156,1141,1041,992,479,255
"126","台北市","南港區","鴻福里",1563,820,2469,4011,1039,720,1212.93,4729,400,368,545,863,738,683,641,324,167
"127","台北市","南港區","九如里",2347,967,3441,5592,933,636,1152.93,6742,677,574,818,1128,1069,1006,820,375,275
"128","台北市","南港區","舊莊里",2714,1358,4238,7922,NA,NA,NA,9609,915,924,1286,1720,1563,1400,999,507,295
"129","台北市","南港區","聯成里",1775,837,2688,4508,932,644,1010.58,5324,510,413,621,907,841,755,722,346,209
"130","台北市","南港區","南港里",1976,1000,3061,5655,975,679,995.96,6653,647,592,742,1132,1054,1045,835,388,218
"131","台北市","南港區","仁福里",1990,978,3059,4916,999,706,926.18,5836,459,592,671,812,1217,890,673,324,198
"132","台北市","南港區","三重里",2239,1224,3559,6330,1785,940,3538.4,7664,1053,574,790,1506,1396,1045,817,311,172
"133","台北市","南港區","萬福里",1470,772,2329,3805,1065,676,1388.09,4412,356,311,529,805,586,676,666,300,183
"134","台北市","南港區","西新里",1482,790,2337,4165,890,629,981.17,5049,495,475,602,994,794,700,551,293,145
"135","台北市","南港區","新富里",1412,724,2219,3486,895,619,954.71,4244,459,363,535,783,628,610,458,254,154
"136","台北市","南港區","新光里",1225,588,1861,3337,1157,639,8343.02,3965,363,309,509,697,575,588,544,216,164
"137","台北市","南港區","玉成里",1575,802,2456,4228,971,685,1153.45,5075,513,384,612,912,867,708,598,321,160
"138","台北市","南港區","中南里",1130,570,1762,3315,790,591,817.98,3983,399,345,496,703,601,613,474,218,134
"139","台北市","南港區","中研里",2840,1873,4876,8171,1075,714,1503.78,9840,1079,764,1320,1802,1349,1445,1233,517,331
"140","台北市","南港區","重陽里",1737,982,2803,4580,1702,1036,2217.79,5760,708,600,609,1043,1220,774,489,223,94
"141","台北市","內湖區","安湖里",2321,1384,3812,6644,1140,734,1598.68,8331,910,1037,1248,1337,1203,1282,902,254,158
"142","台北市","內湖區","安泰里",1740,864,2710,4787,905,660,875.52,5844,597,568,739,1144,964,841,667,205,119
"143","台北市","內湖區","寶湖里",2717,1634,4473,7392,2063,1274,2849.53,9078,1166,789,1002,1691,1597,1358,968,341,166
"144","台北市","內湖區","碧山里",2409,1275,3788,6183,1131,741,1758.07,7343,642,725,950,1220,1137,1263,869,311,226
"145","台北市","內湖區","大湖里",1690,1170,2947,4835,1460,896,2831.49,5725,538,475,861,886,853,1046,682,243,141
"146","台北市","內湖區","東湖里",2329,1340,3789,6634,928,675,888.05,8106,791,897,1164,1530,1164,1295,872,248,145
"147","台北市","內湖區","港都里",1729,1011,2825,4732,1206,741,2059.79,6039,661,707,764,1033,875,863,740,240,156
"148","台北市","內湖區","港富里",3175,1610,4949,8285,1180,754,1981.59,10076,909,1074,1323,1671,1442,1552,1330,457,318
"149","台北市","內湖區","港華里",2901,1604,4620,7740,1279,738,2709.14,9772,1149,1056,1176,1717,1476,1337,1306,354,201
"150","台北市","內湖區","港墘里",1966,1093,3162,5276,1183,762,1442.45,6417,584,703,828,1020,986,1029,831,280,156
"151","台北市","內湖區","湖濱里",2863,1513,4498,7310,1478,829,2814.6,8680,724,893,1119,1282,1245,1427,1230,455,305
